OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,Geometry,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
5587074,26,Retired,Dead,27,403A1E8A-6A07-4636-AF95-53C23B03AD8E,POINT(-73.88266295942778 40.87385728843927),8D4ED8C6-682B-4BF7-ACE2-A3A0330F5F2A,Acer rubrum - red maple,11:00.0,15:00.0,,8,48:00.0,-73.88266296,40.87385729
5587391,2,Full,Good,0,05A41410-CD0E-4DA7-ADDE-CC5DDA4CE54E,POINT(-73.86651763656958 40.88566174060795),52D3F19F-2E0E-48C8-86DF-F50F57A8AFF7,Acer rubrum - red maple,11:11.0,,,,,-73.86651764,40.88566174
5587447,5,Full,Good,0,C92C5C5D-6B24-47F4-9DA3-7B8A0327C5BC,POINT(-73.88162875928067 40.874235048187025),CC181A13-6F68-4470-9D4B-DBEEEF89ADC2,Acer rubrum - red maple,11:11.0,58:52.0,,6,58:52.0,-73.88162876,40.87423505
5587486,12,Full,Good,0,9C987911-F0E8-4215-A552-C5569A94E2B0,POINT(-73.89284249522109 40.890619382683994),1A9165F1-B7EE-4142-ADE1-D5F665C163A9,Acer rubrum - red maple,11:11.0,14:18.0,,6,14:17.0,-73.8928425,40.89061938
5587491,23,Full,Good,0,F05B3F6A-7087-4C3F-BC24-FFD5CE7FAB2B,POINT(-73.89719798581474 40.890461447386535),F4E6269B-D34D-4611-83BA-395EEC6B3609,Acer rubrum - red maple,11:11.0,,,,,-73.89719799,40.89046145
5587756,14,Full,Good,0,2F85F5AE-1C5B-4A6C-9A75-D88A65B260E6,POINT(-73.89264273827504 40.89061458485507),57DEEEB3-E760-4328-B9A8-3E2F9324B115,Acer rubrum - red maple,11:11.0,08:30.0,,7,08:29.0,-73.89264274,40.89061458
5588189,5,Stump,Dead,10,6B048837-C9AB-46A2-B745-24B7776D47DD,POINT(-73.89468452205871 40.902841956940925),6E89D21B-1EE6-4F1D-8100-73FF8BFE14D2,Acer rubrum - red maple,11:11.0,36:10.0,,9,18:25.0,-73.89468452,40.90284196
5589072,23,Stump,Dead,36,DB4FB816-CB5E-4BFD-BE99-52EC6DB04EEC,POINT(-73.89483735020599 40.902988048594),C945E453-DB75-4A6A-96FE-A45584A981D9,Acer rubrum - red maple,11:11.0,34:04.0,,9,48:48.0,-73.89483735,40.90298805
5589374,4,Full,Fair,0,112E950D-9CE1-416B-ABD9-EB28526AD8A2,POINT(-73.88228226107975 40.87207438115887),E71C6D55-152D-4D29-A91D-D875EA0CF5EC,Acer rubrum - red maple,11:00.0,12:59.0,,6,12:59.0,-73.88228226,40.87207438
5589389,6,Full,Fair,0,BCCF3193-3C89-4105-9E8B-25C3847DB72D,POINT(-73.90587755077131 40.9002198653451),6948E456-0C37-494D-91EE-E880C2AA7DF5,Acer rubrum - red maple,11:11.0,,,,,-73.90587755,40.90021987
5589914,2,Full,Critical,,B424F0AA-BF99-4FEE-8937-E37EF73111A4,POINT(-73.89627613089341 40.89334479406984),034ECCB8-5EB8-4B39-A91A-6F26BC5EF8B6,Acer rubrum - red maple,11:11.0,35:44.0,,,,-73.89627613,40.89334479
5589943,3,Full,Good,0,EF128AD3-11B4-4B13-9070-2BE2C4E83F2A,POINT(-73.86785961803102 40.88186535510225),8CB707B9-AAC0-4883-AAD8-1906AFF6CF81,Acer rubrum - red maple,11:11.0,,,,,-73.86785962,40.88186536
